f_0,m_val,eo_val_0,eo_val_1
Learnt from Subset,100,0.0,0.0
Learnt from Subset,120,0.0,0.0
Learnt from Subset,140,0.0,0.0
Learnt from Subset,160,0.0,0.0
Learnt from Subset,180,0.0,0.0
Learnt from Subset,200,0.0,0.0
Learnt from Subset,220,0.0,0.0
Learnt from Subset,240,0.0,0.0
Learnt from Subset,260,0.0,0.0
Learnt from Subset,280,0.0,0.0
Learnt from Subset,300,0.0,0.0
Learnt from Subset,320,0.0,0.0
Learnt from Subset,340,0.0,0.0
Learnt from Subset,360,0.0,0.0
Learnt from Subset,380,0.0,0.0
Learnt from Subset,400,0.0,0.0
Learnt from Subset,420,0.0,0.0
Learnt from Subset,440,0.0,0.0
Learnt from Subset,460,0.0,0.0
Learnt from Subset,480,0.0,0.0
Learnt from Subset,500,0.0,0.0
Learnt from Subset,520,0.0,0.0
Learnt from Subset,540,0.0,0.0
Learnt from Subset,560,0.0,0.0
Learnt from Subset,580,0.0,0.0
Learnt from Subset,600,0.0,0.0
Learnt from Subset,620,0.0,0.0
Learnt from Subset,640,0.0,0.0
Learnt from Subset,660,0.0,0.0
Learnt from Subset,680,0.0,0.0
Learnt from Subset,700,0.0,0.0
Learnt from Subset,720,0.0,0.0
Learnt from Subset,740,0.0,0.0
Learnt from Subset,760,0.0,0.0
Learnt from Subset,780,0.0,0.0
Learnt from Subset,800,0.0,0.0
Learnt from Subset,820,0.0,0.0
Learnt from Subset,840,0.0,0.0
Learnt from Subset,860,0.0,0.0
Learnt from Subset,880,0.0,0.0
Learnt from Subset,900,0.0,0.0
Learnt from Subset,920,0.0,0.0
Learnt from Subset,940,0.0,0.0
Learnt from Subset,960,0.0,0.0
Learnt from Subset,980,0.0,0.0
Learnt from Subset,1000,0.0,0.0
Learnt from Subset,1020,0.0,0.0
Learnt from Subset,1040,0.0,0.0
Learnt from Subset,1060,0.0,0.0
Learnt from Subset,1080,0.0,0.0
Learnt from Subset,1100,0.0,0.0
Learnt from Subset,1120,0.0,0.0
Learnt from Subset,1140,0.0,0.0
Learnt from Subset,1160,0.0,0.0
Learnt from Subset,1180,0.0,0.0
Learnt from Subset,1200,0.0,0.0
Learnt from Subset,1220,0.0,0.0
Learnt from Subset,1240,0.0,0.0
Learnt from Subset,1260,0.0,0.0
Learnt from Subset,1280,0.0,0.0
Learnt from Subset,1300,0.0,0.0
Learnt from Subset,1320,0.0,0.0
Learnt from Subset,1340,0.0,0.0
Learnt from Subset,1360,0.0,0.0
Learnt from Subset,1380,0.0,0.0
Learnt from Subset,1400,0.0,0.0
Learnt from Subset,1420,0.0,0.0
Learnt from Subset,1440,0.0,0.0
Learnt from Subset,1460,0.0,0.0
Learnt from Subset,1480,0.0,0.0
Learnt from Subset,1500,0.0,0.0
Learnt from Subset,1520,0.0,0.0
Learnt from Subset,1540,0.0,0.0
Learnt from Subset,1560,0.0,0.0
Learnt from Subset,1580,0.0,0.0
Learnt from Subset,1600,0.0,0.0
Learnt from Subset,1620,0.0,0.0
Learnt from Subset,1640,0.0,0.0
Learnt from Subset,1660,0.0,0.0
Learnt from Subset,1680,0.0,0.0
Learnt from Subset,1700,0.0,0.0
Learnt from Subset,1720,0.0,0.0
Learnt from Subset,1740,0.0,0.0
Learnt from Subset,1760,0.0,0.0
Learnt from Subset,1780,0.0,0.0
Learnt from Subset,1800,0.0,0.0
Learnt from Subset,1820,0.0,0.0
Learnt from Subset,1840,0.0,0.0
Learnt from Subset,1860,0.0,0.0
Learnt from Subset,1880,0.0,0.0
Learnt from Subset,1900,0.0,0.0
Learnt from Subset,1920,0.0,0.0
Learnt from Subset,1940,0.0,0.0
Learnt from Subset,1960,0.0,0.0
Learnt from Subset,1980,0.0,0.0
Learnt from Subset,2000,0.0,0.0
Learnt from Subset,2020,0.0,0.0
Learnt from Subset,2040,0.0,0.0
Learnt from Subset,2060,0.0,0.0
Learnt from Subset,2080,0.0,0.0
Learnt from Subset,2100,0.0,0.0
Learnt from Subset,2120,0.0,0.0
Learnt from Subset,2140,0.0,0.0
Learnt from Subset,2160,0.0,0.0
Learnt from Subset,2180,0.0,0.0
Learnt from Subset,2200,0.0,0.0
Learnt from Subset,2220,0.0,0.0
Learnt from Subset,2240,0.0,0.0
Learnt from Subset,2260,0.0,0.0
Learnt from Subset,2280,0.0,0.0
Learnt from Subset,2300,0.0,0.0
Learnt from Subset,2320,0.0,0.0
Learnt from Subset,2340,0.0,0.0
Learnt from Subset,2360,0.0,0.0
Learnt from Subset,2380,0.0,0.0
Learnt from Subset,2400,0.0,0.0
Learnt from Subset,2420,0.0,0.0
Learnt from Subset,2440,0.0,0.0
Learnt from Subset,2460,0.0,0.0
Learnt from Subset,2480,0.0,0.0
Learnt from Subset,2500,0.0,0.0
Learnt from Subset,2520,0.0,0.0
Learnt from Subset,2540,0.0,0.0
Learnt from Subset,2560,0.0,0.0
Learnt from Subset,2580,0.0,0.0
Learnt from Subset,2600,0.0,0.0
Learnt from Subset,2620,0.0,0.0
Learnt from Subset,2640,0.0,0.0
Learnt from Subset,2660,0.0,0.0
Learnt from Subset,2680,0.0,0.0
Learnt from Subset,2700,0.0,0.0
Learnt from Subset,2720,0.0,0.0
Learnt from Subset,2740,0.0,0.0
Learnt from Subset,2760,0.0,0.0
Learnt from Subset,2780,0.0,0.0
Learnt from Subset,2800,0.0,0.0
Learnt from Subset,2820,0.0,0.0
Learnt from Subset,2840,0.0,0.0
Learnt from Subset,2860,0.0,0.0
Learnt from Subset,2880,0.0,0.0
Learnt from Subset,2900,0.0,0.0
Learnt from Subset,2920,0.0,0.0
Learnt from Subset,2940,0.0,0.0
Learnt from Subset,2960,0.0,0.0
Learnt from Subset,2980,0.0,0.0
Learnt from Subset,3000,0.0,0.0
Learnt from Subset,3020,0.0,0.0
Learnt from Subset,3040,0.0,0.0
Learnt from Subset,3060,0.0,0.0
Learnt from Subset,3080,0.0,0.0
Learnt from Subset,3080,0.0,0.0
Learnt from Subset,100,0.0,0.0
Learnt from Subset,120,0.0,0.0
Learnt from Subset,140,0.0,0.0
Learnt from Subset,160,0.0,0.0
Learnt from Subset,180,0.0,0.0
Learnt from Subset,200,0.0,0.0
Learnt from Subset,220,0.0,0.0
Learnt from Subset,240,0.0,0.0
Learnt from Subset,260,0.0,0.0
Learnt from Subset,280,0.0,0.0
Learnt from Subset,300,0.0,0.0
Learnt from Subset,320,0.0,0.0
Learnt from Subset,340,0.0,0.0
Learnt from Subset,360,0.0,0.0
Learnt from Subset,380,0.0,0.0
Learnt from Subset,400,0.0,0.0
Learnt from Subset,420,0.0,0.0
Learnt from Subset,440,0.0,0.0
Learnt from Subset,460,0.0,0.0
Learnt from Subset,480,0.0,0.0
Learnt from Subset,500,0.0,0.0
Learnt from Subset,520,0.0,0.0
Learnt from Subset,540,0.0,0.0
Learnt from Subset,560,0.0,0.0
Learnt from Subset,580,0.0,0.0
Learnt from Subset,600,0.0,0.0
Learnt from Subset,620,0.0,0.0
Learnt from Subset,640,0.0,0.0
Learnt from Subset,660,0.0,0.0
Learnt from Subset,680,0.0,0.0
Learnt from Subset,700,0.0,0.0
Learnt from Subset,720,0.0,0.0
Learnt from Subset,740,0.0,0.0
Learnt from Subset,760,0.0,0.0
Learnt from Subset,780,0.0,0.0
Learnt from Subset,800,0.0,0.0
Learnt from Subset,820,0.0,0.0
Learnt from Subset,840,0.0,0.0
Learnt from Subset,860,0.0,0.0
Learnt from Subset,880,0.0,0.0
Learnt from Subset,900,0.0,0.0
Learnt from Subset,920,0.0,0.0
Learnt from Subset,940,0.0,0.0
Learnt from Subset,960,0.0,0.0
Learnt from Subset,980,0.0,0.0
Learnt from Subset,1000,0.0,0.0
Learnt from Subset,1020,0.0,0.0
Learnt from Subset,1040,0.0,0.0
Learnt from Subset,1060,0.0,0.0
Learnt from Subset,1080,0.0,0.0
Learnt from Subset,1100,0.0,0.0
Learnt from Subset,1120,0.0,0.0
Learnt from Subset,1140,0.0,0.0
Learnt from Subset,1160,0.0,0.0
Learnt from Subset,1180,0.0,0.0
Learnt from Subset,1200,0.0,0.0
Learnt from Subset,1220,0.0,0.0
Learnt from Subset,1240,0.0,0.0
Learnt from Subset,1260,0.0,0.0
Learnt from Subset,1280,0.0,0.0
Learnt from Subset,1300,0.0,0.0
Learnt from Subset,1320,0.0,0.0
Learnt from Subset,1340,0.0,0.0
Learnt from Subset,1360,0.0,0.0
Learnt from Subset,1380,0.0,0.0
Learnt from Subset,1400,0.0,0.0
Learnt from Subset,1420,0.0,0.0
Learnt from Subset,1440,0.0,0.0
Learnt from Subset,1460,0.0,0.0
Learnt from Subset,1480,0.0,0.0
Learnt from Subset,1500,0.0,0.0
Learnt from Subset,1520,0.0,0.0
Learnt from Subset,1540,0.0,0.0
Learnt from Subset,1560,0.0,0.0
Learnt from Subset,1580,0.0,0.0
Learnt from Subset,1600,0.0,0.0
Learnt from Subset,1620,0.0,0.0
Learnt from Subset,1640,0.0,0.0
Learnt from Subset,1660,0.0,0.0
Learnt from Subset,1680,0.0,0.0
Learnt from Subset,1700,0.0,0.0
Learnt from Subset,1720,0.0,0.0
Learnt from Subset,1740,0.0,0.0
Learnt from Subset,1760,0.0,0.0
Learnt from Subset,1780,0.0,0.0
Learnt from Subset,1800,0.0,0.0
Learnt from Subset,1820,0.0,0.0
Learnt from Subset,1840,0.0,0.0
Learnt from Subset,1860,0.0,0.0
Learnt from Subset,1880,0.0,0.0
Learnt from Subset,1900,0.0,0.0
Learnt from Subset,1920,0.0,0.0
Learnt from Subset,1940,0.0,0.0
Learnt from Subset,1960,0.0,0.0
Learnt from Subset,1980,0.0,0.0
Learnt from Subset,2000,0.0,0.0
Learnt from Subset,2020,0.0,0.0
Learnt from Subset,2040,0.0,0.0
Learnt from Subset,2060,0.0,0.0
Learnt from Subset,2080,0.0,0.0
Learnt from Subset,2100,0.0,0.0
Learnt from Subset,2120,0.0,0.0
Learnt from Subset,2140,0.0,0.0
Learnt from Subset,2160,0.0,0.0
Learnt from Subset,2180,0.0,0.0
Learnt from Subset,2200,0.0,0.0
Learnt from Subset,2220,0.0,0.0
Learnt from Subset,2240,0.0,0.0
Learnt from Subset,2260,0.0,0.0
Learnt from Subset,2280,0.0,0.0
Learnt from Subset,2300,0.0,0.0
Learnt from Subset,2320,0.0,0.0
Learnt from Subset,2340,0.0,0.0
Learnt from Subset,2360,0.0,0.0
Learnt from Subset,2380,0.0,0.0
Learnt from Subset,2400,0.0,0.0
Learnt from Subset,2420,0.0,0.0
Learnt from Subset,2440,0.0,0.0
Learnt from Subset,2460,0.0,0.0
Learnt from Subset,2480,0.0,0.0
Learnt from Subset,2500,0.0,0.0
Learnt from Subset,2520,0.0,0.0
Learnt from Subset,2540,0.0,0.0
Learnt from Subset,2560,0.0,0.0
Learnt from Subset,2580,0.0,0.0
Learnt from Subset,2600,0.0,0.0
Learnt from Subset,2620,0.0,0.0
Learnt from Subset,2640,0.0,0.0
Learnt from Subset,2660,0.0,0.0
Learnt from Subset,2680,0.0,0.0
Learnt from Subset,2700,0.0,0.0
Learnt from Subset,2720,0.0,0.0
Learnt from Subset,2740,0.0,0.0
Learnt from Subset,2760,0.0,0.0
Learnt from Subset,2780,0.0,0.0
Learnt from Subset,2800,0.0,0.0
Learnt from Subset,2820,0.0,0.0
Learnt from Subset,2840,0.0,0.0
Learnt from Subset,2860,0.0,0.0
Learnt from Subset,2880,0.0,0.0
Learnt from Subset,2900,0.0,0.0
Learnt from Subset,2920,0.0,0.0
Learnt from Subset,2940,0.0,0.0
Learnt from Subset,2960,0.0,0.0
Learnt from Subset,2980,0.0,0.0
Learnt from Subset,3000,0.0,0.0
Learnt from Subset,3020,0.0,0.0
Learnt from Subset,3040,0.0,0.0
Learnt from Subset,3060,0.0,0.0
Learnt from Subset,3080,0.0,0.0
Learnt from Subset,3080,0.0,0.0
